"prime","target","RT.200SOA","RT.1200SOA","obs.200SOA","obs.1200SOA","primecond","rel","t_length","t_freq","t_logfreq","t_orthoN","t_bgmean","t_POS","relation","FAS","LSA","BEAGLE_RPs","BEAGLE_PMI","p_freq","p_logfreq","p_length","p_orthoN","p_bgsum","p_bgmean","p_POS"
"ABDOMEN","tear",751.310344827586,616.6875,29,32,4,0,4,27,3.14,16,3058.33,"NN",NA,NA,NA,0.000661362,0,7,3.35,2.24,0,8382,1397,"NN"
"ABDOMEN","body",543.870967741935,601.606060606061,31,33,2,1,4,195.53,4,4,483,"NN","category",0.072,0.46,0.097669226,0.843720335,7,3.35,2.24,0,8382,1397,"NN"
"ABDUCT","australia",733.225806451613,815.032258064516,31,31,3,0,9,8.43,2.63,0,2153.88,"NN",NA,NA,NA,0.053292857,0.027628591,0.71,1.57,6,0,2962,592.4,"VB"
"ABDUCT","kidnap",678.166666666667,742.060606060606,30,33,1,1,6,6.49,2.52,0,727.2,"VB","synonym",0.453,-0.01,0,2.479748263,0.71,1.57,6,0,2962,592.4,"VB"
"ABILITY","summary",703.096774193548,785.545454545455,31,33,3,0,7,1.67,1.93,0,1191.83,"NN",NA,NA,NA,0.107813274,0.073091479,19.22,2.99,7,1,8681,1446.83,"NN"
"ABILITY","capability",774.25,908.838709677419,28,31,1,1,10,1.37,1.85,0,1383.89,"NN","category",0.119,0.22,0.233508096,0.488945168,19.22,2.99,7,1,8681,1446.83,"NN"
"ABLE","beam",679.4,787.571428571429,25,28,3,0,4,8.73,2.65,9,1206,"NN|VB",NA,NA,NA,0.0705165,0.039353567,159.9,3.91,4,2,5602,1867.33,"JJ"
"ABLE","willing",833.821428571429,756.15625,28,32,1,1,7,49.25,3.4,6,2846.5,"JJ|VB","unclassified",0.264,0.47,0.355335668,0.243430419,159.9,3.91,4,2,5602,1867.33,"JJ"
"ABNORMAL","insane",818.193548387097,651.866666666667,31,30,2,1,6,38.69,3.3,0,3052,"JJ|NN","unclassified",0.014,0.11,0.098409667,0.109960231,8,2.9,2.17,0,9895,1413.57,"JJ"
"ABNORMAL","tighten",711.642857142857,710.392857142857,28,28,4,0,7,2.86,2.17,2,2436.17,"VB",NA,NA,NA,0.017695695,0.013527534,8,2.9,2.17,0,9895,1413.57,"JJ"
"ABOVE","below",665.59375,592.71875,32,32,1,1,5,28.04,3.16,0,1186.75,"minor|NN","antonym",0.564,0.79,0.564870701,0.779992808,48.88,3.4,5,1,4212,1053,"minor|JJ|NN"
