,prime,target,RT.200SOA,RT.1200SOA,obs.200SOA,obs.1200SOA,primecond,rel,t_length,t_freq,t_logfreq,t_orthoN,t_bgmean,t_POS,relation,FAS,LSA,BEAGLE_RPs,BEAGLE_PMI,p_freq,p_logfreq,p_length,p_orthoN,p_bgsum,p_bgmean,p_POS
4,ABILITY,summary,703.0967742,785.5454545,31,33,3,0,7,1.67,1.93,0,1191.83,NN,,,,0.107813274,0.073091479,19.22,2.99,7,1,8681,1446.83,NN
5,ABILITY,capability,774.25,908.8387097,28,31,1,1,10,1.37,1.85,0,1383.89,NN,category,0.119,0.22,0.233508096,0.488945168,19.22,2.99,7,1,8681,1446.83,NN
6,ABLE,beam,679.4,787.5714286,25,28,3,0,4,8.73,2.65,9,1206,NN|VB,,,,0.0705165,0.039353567,159.9,3.91,4,2,5602,1867.33,JJ
7,ABLE,willing,833.8214286,756.15625,28,32,1,1,7,49.25,3.4,6,2846.5,JJ|VB,unclassified,0.264,0.47,0.355335668,0.243430419,159.9,3.91,4,2,5602,1867.33,JJ
10,ABOVE,below,665.59375,592.71875,32,32,1,1,5,28.04,3.16,0,1186.75,minor|NN,antonym,0.564,0.79,0.564870701,0.779992808,48.88,3.4,5,1,4212,1053,minor|JJ|NN
11,ABOVE,property,662.5806452,700.0740741,31,27,3,0,8,33.29,3.23,1,1966.86,NN,,,,0.02179785,0.045033475,48.88,3.4,5,1,4212,1053,minor|JJ|NN
12,ABSTRACT,unknown,669.7096774,672.09375,31,32,4,0,7,15.18,2.89,0,649.17,JJ|NN,,,,0.034185094,0.078829353,8,2.18,2.05,0,12196,1742.29,JJ|NN|VB
13,ABSTRACT,thought,594.9393939,716.6451613,33,31,2,1,7,808.47,4.62,0,886.67,VB|NN,fpa,0.021,0.19,0.121965377,0.328407441,8,2.18,2.05,0,12196,1742.29,JJ|NN|VB
14,ABSURD,ridiculous,783.2666667,679.7741935,30,31,1,1,10,55.61,3.45,0,1577,JJ,synonym,0.268,0.43,0.159454229,6.306579023,9.71,2.7,6,0,4072,814.4,JJ|NN
15,ABSURD,satin,947.4642857,936.2916667,28,24,3,0,5,2.61,2.13,2,4147.25,NN,,,,0.099744233,0.112831626,9.71,2.7,6,0,4072,814.4,JJ|NN
16,ABUNDANCE,lots,611.0333333,677.7,30,30,1,1,4,60.16,3.49,8,1126.67,NN,synonym,0.224,0.05,0.030902674,0.109464343,0.88,1.66,9,0,12189,1523.63,NN
