,Unnamed: 0,prime,target,RT.200SOA,RT.1200SOA,obs.200SOA,obs.1200SOA,primecond,rel,t_length,t_freq,t_logfreq,t_orthoN,t_bgmean,t_POS,relation,FAS,LSA,BEAGLE_RPs,BEAGLE_PMI,p_freq,p_logfreq,p_length,p_orthoN,p_bgsum,p_bgmean,p_POS,jc_similarity,path_similarity,cosine_distance
0,4,ABILITY,summary,703.0967742,785.5454545,31,33,3,0,7,1.67,1.93,0.0,1191.83,NN,,,,0.107813274,0.073091479,19.22,2.99,7.0,1.0,8681.0,1446.83,NN,0.0687942944023292,0.125,1.0036161448806524
1,5,ABILITY,capability,774.25,908.8387097000001,28,31,1,1,10,1.37,1.85,0.0,1383.89,NN,category,0.11900000000000001,0.22,0.23350809600000003,0.488945168,19.22,2.99,7.0,1.0,8681.0,1446.83,NN,0.7016883069005602,0.5,0.8326554894447327
2,6,ABLE,beam,679.4,787.5714286,25,28,3,0,4,8.73,2.65,9.0,1206.0,NN|VB,,,,0.0705165,0.039353567,159.9,3.91,4.0,2.0,5602.0,1867.33,JJ,NA,,0.9633010178804398
3,7,ABLE,willing,833.8214286,756.15625,28,32,1,1,7,49.25,3.4,6.0,2846.5,JJ|VB,unclassified,0.264,0.47,0.355335668,0.24343041899999998,159.9,3.91,4.0,2.0,5602.0,1867.33,JJ,NA,,0.9955063820816576
4,10,ABOVE,below,665.59375,592.71875,32,32,1,1,5,28.04,3.16,0.0,1186.75,minor|NN,antonym,0.564,0.79,0.564870701,0.7799928079999999,48.88,3.4,5.0,1.0,4212.0,1053.0,minor|JJ|NN,NA,,0.7614627182483673
5,11,ABOVE,property,662.5806452,700.0740741000001,31,27,3,0,8,33.29,3.23,1.0,1966.86,NN,,,,0.02179785,0.045033475,48.88,3.4,5.0,1.0,4212.0,1053.0,minor|JJ|NN,1e-300,0.1111111111111111,0.928553506731987
6,12,ABSTRACT,unknown,669.7096774,672.09375,31,32,4,0,7,15.18,2.89,0.0,649.17,JJ|NN,,,,0.034185094,0.078829353,8.0,2.18,2.05,0.0,12196.0,1742.29,JJ|NN|VB,NA,0.07692307692307693,0.9700887482613325
7,13,ABSTRACT,thought,594.9393938999999,716.6451613,33,31,2,1,7,808.47,4.62,0.0,886.67,VB|NN,fpa,0.021,0.19,0.12196537699999999,0.328407441,8.0,2.18,2.05,0.0,12196.0,1742.29,JJ|NN|VB,0.16671485584217363,0.3333333333333333,1.0814073756337166
8,14,ABSURD,ridiculous,783.2666667000001,679.7741934999999,30,31,1,1,10,55.61,3.45,0.0,1577.0,JJ,synonym,0.268,0.43,0.159454229,6.306579022999999,9.71,2.7,6.0,0.0,4072.0,814.4,JJ|NN,NA,,0.6186796426773071
9,15,ABSURD,satin,947.4642857000001,936.2916667000002,28,24,3,0,5,2.61,2.13,2.0,4147.25,NN,,,,0.099744233,0.11283162599999999,9.71,2.7,6.0,0.0,4072.0,814.4,JJ|NN,0.0411417205752139,0.08333333333333333,0.8041989058256149
10,16,ABUNDANCE,lots,611.0333333,677.7,30,30,1,1,4,60.16,3.49,8.0,1126.67,NN,synonym,0.22399999999999998,0.05,0.030902673999999998,0.109464343,0.88,1.66,9.0,0.0,12189.0,1523.63,NN,0.056471495977335716,0.09090909090909091,0.889148086309433
11,17,ABUNDANCE,cloth,742.0666667,638.96875,30,32,3,0,5,6.1,2.49,1.0,1069.0,NN,,,,0.052644478,0.098280823,0.88,1.66,9.0,0.0,12189.0,1523.63,NN,0.0632274256502017,0.07692307692307693,0.932990662753582
12,18,ACCELERATE,drugs,580.4516129,662.9666667,31,30,3,0,5,48.31,3.39,2.0,412.5,NN|VB,,,,0.058800002000000004,0.077489721,1.27,1.82,10.0,0.0,26318.0,2924.22,VB,0.053696979621242605,,0.9050891548395157
